Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     32.82     0.00        4     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::begin()
  0.00     32.82     0.00        4     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::insert(__gnu_cxx::__normal_iterator<std::list<int, std::allocator<int> >*, std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > > >, unsigned int, std::list<int, std::allocator<int> > const&)
  0.00     32.82     0.00        4     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::resize(unsigned int, std::list<int, std::allocator<int> >)
  0.00     32.82     0.00        4     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::vector()
  0.00     32.82     0.00        4     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::~vector()
  0.00     32.82     0.00        4     0.00     0.00  void std::uninitialized_fill_n<std::list<int, std::allocator<int> >*, unsigned int, std::list<int, std::allocator<int> > >(std::list<int, std::allocator<int> >*, unsigned int, std::list<int, std::allocator<int> > const&)
  0.00     32.82     0.00        4     0.00     0.00  void std::__uninitialized_fill_n_a<std::list<int, std::allocator<int> >*, unsigned int, std::list<int, std::allocator<int> >, std::list<int, std::allocator<int> > >(std::list<int, std::allocator<int> >*, unsigned int, std::list<int, std::allocator<int> > const&, std::allocator<std::list<int, std::allocator<int> > >&)
  0.00     32.82     0.00        4     0.00     0.00  unsigned int const& std::max<unsigned int>(unsigned int const&, unsigned int const&)
  0.00     32.82     0.00        2     0.00     0.00  std::_List_iterator<int>::_List_iterator()
  0.00     32.82     0.00        1     0.00     0.00  global constructors keyed to SatProblem::SatProblem(unsigned long, bool)
  0.00     32.82     0.00        1     0.00     0.00  global constructors keyed to SliceSampling::SliceSampling(SampleSAT*, SatProblem*, learnparams*)
  0.00     32.82     0.00        1     0.00     0.00  global constructors keyed to SampleSAT::SampleSAT(SatProblem*, samplesatparams*, bool, learnparams*)
  0.00     32.82     0.00        1     0.00     0.00  global constructors keyed to cnffilename
  0.00     32.82     0.00        1     0.00     0.00  printlParameters(learnparams*)
  0.00     32.82     0.00        1     0.00     0.00  printssParameters(samplesatparams*)
  0.00     32.82     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     32.82     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     32.82     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     32.82     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     32.82     0.00        1     0.00     0.01  SatProblem::parseCnfFile(char*)
  0.00     32.82     0.00        1     0.00     0.00  SatProblem::getNumClauses()
  0.00     32.82     0.00        1     0.00     0.00  SatProblem::parseProbFile(char*)
  0.00     32.82     0.00        1     0.00     0.01  SatProblem::allocate()
  0.00     32.82     0.00        1     0.00     0.00  SatProblem::SatProblem(unsigned long, bool)
  0.00     32.82     0.00        1     0.00     0.00  SatProblem::~SatProblem()
  0.00     32.82     0.00        1     0.00     0.00  SliceSampling::printUnitTime()
  0.00     32.82     0.00        1     0.00     0.00  SliceSampling::init()
  0.00     32.82     0.00        1     0.00     0.00  SliceSampling::calcFixed(learnparams*)
  0.00     32.82     0.00        1     0.00     0.00  SliceSampling::SliceSampling(SampleSAT*, SatProblem*, learnparams*)
  0.00     32.82     0.00        1     0.00     0.00  SliceSampling::~SliceSampling()
