Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        4     0.00     0.00  unsigned int const& std::max<unsigned int>(unsigned int const&, unsigned int const&)
  0.00      0.00     0.00        2     0.00     0.00  Timer::Timer()
  0.00      0.00     0.00        2     0.00     0.00  Timer::~Timer()
  0.00      0.00     0.00        2     0.00     0.00  std::_List_iterator<int>::_List_iterator()
  0.00      0.00     0.00        1     0.00     0.00  global constructors keyed to SatProblem::SatProblem(unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  global constructors keyed to SliceSampling::SliceSampling(SampleSAT*, SatProblem*, learnparams*)
  0.00      0.00     0.00        1     0.00     0.00  global constructors keyed to SampleSAT::SampleSAT(SatProblem*, samplesatparams*)
  0.00      0.00     0.00        1     0.00     0.00  global constructors keyed to cnffilename
  0.00      0.00     0.00        1     0.00     0.00  printlParameters(learnparams*)
  0.00      0.00     0.00        1     0.00     0.00  printssParameters(samplesatparams*)
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  SatProblem::parseCnfFile(char*)
  0.00      0.00     0.00        1     0.00     0.00  SatProblem::parseSliFile(char*)
  0.00      0.00     0.00        1     0.00     0.00  SatProblem::getNumClauses()
  0.00      0.00     0.00        1     0.00     0.00  SatProblem::parseProbFile(char*)
  0.00      0.00     0.00        1     0.00     0.00  SatProblem::allocate()
  0.00      0.00     0.00        1     0.00     0.00  SatProblem::SatProblem(unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  SatProblem::~SatProblem()
  0.00      0.00     0.00        1     0.00     0.00  SliceSampling::init()
  0.00      0.00     0.00        1     0.00     0.00  SliceSampling::learn(int*, char*, int)
  0.00      0.00     0.00        1     0.00     0.00  SliceSampling::cdlearn(int)
  0.00      0.00     0.00        1     0.00     0.00  SliceSampling::readdata(char*)
