Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    633.86     0.00        1     0.00     0.00  SatProblem::getNumFixedAtom()
  0.00    633.86     0.00        1     0.00     0.02  SatProblem::allocate()
  0.00    633.86     0.00        1     0.00     0.00  SatProblem::SatProblem(unsigned long, bool)
  0.00    633.86     0.00        1     0.00     0.00  SliceSampling::init()
  0.00    633.86     0.00        1     0.00   633.79  SliceSampling::learn(int*, char*, int, bool, char*)
  0.00    633.86     0.00        1     0.00     5.76  SliceSampling::malearn(int, bool, char*)
  0.00    633.86     0.00        1     0.00     0.00  SliceSampling::sampleU()
  0.00    633.86     0.00        1     0.00     5.76  SliceSampling::sampleX()
  0.00    633.86     0.00        1     0.00     0.00  SliceSampling::SliceSampling(SampleSAT*, SatProblem*, learnparams*)
  0.00    633.86     0.00        1     0.00     0.00  Timer::printTime(std::ostream&, double const&)
  0.00    633.86     0.00        1     0.00     0.00  Random::sgenrand(unsigned long)
  0.00    633.86     0.00        1     0.00     0.00  Random::Random()
  0.00    633.86     0.00        1     0.00     0.00  SampleSAT::init_model()
  0.00    633.86     0.00        1     0.00     0.00  SampleSAT::setWalkMax(int)
  0.00    633.86     0.00        1     0.00     0.00  SampleSAT::setNumSample(int)
  0.00    633.86     0.00        1     0.00     0.00  SampleSAT::setTemperature(double)
  0.00    633.86     0.00        1     0.00     0.00  SampleSAT::setWalkSatProb(double)
  0.00    633.86     0.00        1     0.00     0.00  SampleSAT::setRandomWalkProb(double)
  0.00    633.86     0.00        1     0.00     5.75  SampleSAT::solve(SatProblem*, int*)
  0.00    633.86     0.00        1     0.00     0.00  SampleSAT::SampleSAT(SatProblem*, samplesatparams*, bool, learnparams*)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.00% of 633.86 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00  633.86                 main [1]
                0.00  633.79       1/1           SliceSampling::learn(int*, char*, int, bool, char*) [2]
                0.05    0.00       1/1           SatProblem::parseSliFile(char*) [23]
                0.00    0.02       1/1           SatProblem::parseCnfFile(char*) [27]
                0.00    0.00     139/141         SatProblem::getNumVariables() [89]
                0.00    0.00       3/74          Timer::time() [90]
                0.00    0.00       1/4           Timer::Timer() [117]
                0.00    0.00       1/1           SatProblem::SatProblem(unsigned long, bool) [156]
                0.00    0.00       1/1           SatProblem::parseProbFile(char*) [154]
                0.00    0.00       1/1           SampleSAT::SampleSAT(SatProblem*, samplesatparams*, bool, learnparams*) [167]
                0.00    0.00       1/1           printssParameters(samplesatparams*) [147]
                0.00    0.00       1/1           printlParameters(learnparams*) [146]
                0.00    0.00       1/1           SliceSampling::SliceSampling(SampleSAT*, SatProblem*, learnparams*) [158]
                0.00    0.00       1/1           Timer::printTime(std::ostream&, double const&) [159]
-----------------------------------------------
                0.00  633.79       1/1           main [1]
